timestamp,username,followers,likes,video_count
2026-05-23 07:13:02,heartopia_jp,61524,774901,1030
2026-05-23 07:13:02,heartopia_tw,29435,209257,969
2026-05-24 07:13:01,heartopia_en,636294,7291084,1055
2026-05-24 07:13:01,heartopia_th,197184,1603229,815
2026-05-24 07:13:01,heartopia_jp,61544,776123,1030
2026-05-24 07:13:01,heartopia_tw,29521,210278,969
2026-05-25 07:13:01,heartopia_jp,61560,777026,1030
2026-05-25 07:13:01,heartopia_tw,29587,211503,969
2026-05-26 07:13:01,heartopia_en,636239,7308414,1055
2026-05-26 07:13:01,heartopia_th,197273,1605919,815
2026-05-26 07:13:01,heartopia_jp,61532,777578,1030
2026-05-26 07:13:01,heartopia_tw,29607,211787,969
2026-05-27 07:13:01,heartopia_en,636194,7317287,1055
2026-05-27 07:13:01,heartopia_th,197295,1607544,815
2026-05-27 07:13:01,heartopia_jp,61501,778411,1030
2026-05-27 07:13:01,heartopia_tw,29626,212099,969
2026-05-28 07:13:01,heartopia_en,636215,7332094,1055
2026-05-28 07:13:01,heartopia_th,197292,1609864,817
2026-05-28 07:13:01,heartopia_jp,61501,779664,1030
2026-05-28 07:13:01,heartopia_tw,29645,212536,974
2026-05-29 07:13:02,heartopia_en,638789,7344140,1055
2026-05-29 07:13:02,heartopia_th,198380,1612647,817
2026-05-29 07:13:02,heartopia_jp,61673,780945,1030
2026-05-29 07:13:02,heartopia_tw,29823,213187,974
2026-05-30 07:13:01,heartopia_en,639176,7351917,1055
2026-05-30 07:13:01,heartopia_th,198575,1614797,866
2026-05-30 07:13:01,heartopia_jp,61696,782024,1030
2026-05-30 07:13:01,heartopia_tw,29879,213724,976
2026-05-31 07:13:01,heartopia_en,639376,7361715,1055
2026-05-31 07:13:01,heartopia_th,198772,1618052,866
2026-05-31 07:13:01,heartopia_jp,61734,783249,1030
2026-05-31 07:13:01,heartopia_tw,29971,214288,977
2026-06-01 07:13:01,heartopia_en,639518,7368932,1055
